@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 153\nSize of the tree: 305\n','Number of leaves: 157\nSize of the tree: 313\n','Number of leaves: 150\nSize of the tree: 299\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 139\nSize of the tree: 277\n','Number of leaves: 155\nSize of the tree: 309\n','Number of leaves: 156\nSize of the tree: 311\n','Number of leaves: 138\nSize of the tree: 275\n','Number of leaves: 140\nSize of the tree: 279\n','Number of leaves: 131\nSize of the tree: 261\n','Number of leaves: 136\nSize of the tree: 271\n','Number of leaves: 134\nSize of the tree: 267\n','Number of leaves: 143\nSize of the tree: 285\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 73\nSize of the tree: 145\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 37\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,83,37,0,69.166667,30.833333,0,0.657407,0.062559,0.24738,34.754742,82.459834,398.631371,37602.256311,-37203.624939,3.321928,313.352136,-310.030208,269.278449,2.243987,8106.089035,0.916667,11,0.046296,5,0.953704,103,0.083333,1,0.6875,0.916667,0.785714,0.768122,0.930941,0.638542,0.691667,0.034259,0.965741,0.308333,0.699572,0.691667,0.690668,0.659587,0.832369,0.530635,0.690668,0.691667,1.202,0,1.171875,0,1171.875,0,135913,6854107,797467,69.166667,10.333333,'Number of leaves: 138\nSize of the tree: 275\n',275,138,138
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.018519,2,0.981481,106,0.416667,5,0.777778,0.583333,0.666667,0.643318,0.782407,0.49537,0.708333,0.032407,0.967593,0.291667,0.732879,0.708333,0.711609,0.684746,0.837963,0.562728,0.711609,0.708333,1.205,0,1.203125,0,1203.125,0,146173,6854107,797467,70.833333,10,'Number of leaves: 153\nSize of the tree: 305\n',305,153,153
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,88,32,0,73.333333,26.666667,0,0.703704,0.053333,0.23094,29.62963,76.980036,398.631371,34368,-33969.368629,3.321928,286.4,-283.078072,287.465573,2.395546,8653.57603,0.583333,7,0,0,1,108,0.416667,5,1,0.583333,0.736842,0.746674,0.791667,0.625,0.733333,0.02963,0.97037,0.266667,0.764318,0.733333,0.739331,0.715468,0.851852,0.596919,0.739331,0.733333,1.388,0,1.3125,0,1312.5,0,148909,6854107,797467,73.333333,10,'Number of leaves: 157\nSize of the tree: 313\n',313,157,157
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.037037,4,0.962963,104,0.416667,5,0.636364,0.583333,0.608696,0.567964,0.773148,0.412879,0.708333,0.032407,0.967593,0.291667,0.714376,0.708333,0.705553,0.676789,0.837963,0.549746,0.705553,0.708333,2.077,0.005,1.640625,0,1640.625,0,144121,6854107,797467,70.833333,10,'Number of leaves: 150\nSize of the tree: 299\n',299,150,150
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,90,30,0,75,25,0,0.722222,0.05,0.223607,27.777778,74.535599,398.631371,32220,-31821.368629,3.321928,268.5,-265.178072,294.413436,2.453445,8862.727528,0.666667,8,0.037037,4,0.962963,104,0.333333,4,0.666667,0.666667,0.666667,0.62963,0.814815,0.477778,0.75,0.027778,0.972222,0.25,0.748125,0.75,0.74159,0.718658,0.861111,0.604631,0.74159,0.75,1.857,0.001,1.53125,0,1531.25,0,145489,6854107,797467,75,10,'Number of leaves: 152\nSize of the tree: 303\n',303,152,152
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.916667,11,0.037037,4,0.962963,104,0.083333,1,0.733333,0.916667,0.814815,0.797925,0.939815,0.680556,0.708333,0.032407,0.967593,0.291667,0.707294,0.708333,0.703915,0.674054,0.837963,0.550658,0.703915,0.708333,1.542,0.001,1.421875,0,1421.875,0,144805,6854107,797467,70.833333,10,'Number of leaves: 151\nSize of the tree: 301\n',301,151,151
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,77,43,0,64.166667,35.833333,0,0.601852,0.071667,0.267706,39.814815,89.235436,398.631371,46182,-45783.368629,3.321928,384.85,-381.528072,249.25233,2.077103,7503.242791,0.666667,8,0.064815,7,0.935185,101,0.333333,4,0.533333,0.666667,0.592593,0.545949,0.800926,0.388889,0.641667,0.039815,0.960185,0.358333,0.672201,0.641667,0.645261,0.61236,0.800926,0.505456,0.645261,0.641667,1.597,0.001,1.46875,0,1468.75,0,136597,6854107,797467,64.166667,10,'Number of leaves: 139\nSize of the tree: 277\n',277,139,139
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,91,29,0,75.833333,24.166667,0,0.731481,0.048333,0.219848,26.851852,73.282811,398.631371,31146,-30747.368629,3.321928,259.55,-256.228072,297.887367,2.482395,8967.303277,0.75,9,0.018519,2,0.981481,106,0.25,3,0.818182,0.75,0.782609,0.760495,0.865741,0.638636,0.758333,0.026852,0.973148,0.241667,0.7687,0.758333,0.756521,0.734042,0.865741,0.619675,0.756521,0.758333,1.753,0.001,1.59375,0.015625,1593.75,15.625,147541,6854107,797467,75.833333,10,'Number of leaves: 155\nSize of the tree: 309\n',309,155,155
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.5,6,0.018519,2,0.981481,106,0.5,6,0.75,0.5,0.6,0.579066,0.740741,0.425,0.675,0.036111,0.963889,0.325,0.676376,0.675,0.666894,0.636392,0.819444,0.496672,0.666894,0.675,1.569,0.001,1.53125,0,1531.25,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.75,9,0.083333,9,0.916667,99,0.25,3,0.5,0.75,0.6,0.560112,0.833333,0.4,0.675,0.036111,0.963889,0.325,0.697104,0.675,0.673098,0.645071,0.819444,0.511655,0.673098,0.675,1.565,0.004,1.484375,0,1484.375,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,10,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,82,38,0,68.333333,31.666667,0,0.648148,0.063333,0.251661,35.185185,83.887049,398.631371,40812,-40413.368629,3.321928,340.1,-336.778072,266.621986,2.22185,8026.121536,0.916667,11,0.046296,5,0.953704,103,0.083333,1,0.6875,0.916667,0.785714,0.768122,0.935185,0.638542,0.683333,0.035185,0.964815,0.316667,0.693435,0.683333,0.682757,0.651201,0.824074,0.519382,0.682757,0.683333,1.616,0,1.5,0,1500,0,146173,6854107,797467,68.333333,10,'Number of leaves: 153\nSize of the tree: 305\n',305,153,153
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,86,34,0,71.666667,28.333333,0,0.685185,0.058297,0.238883,32.387244,79.62777,398.631371,36517.715553,-36119.084182,3.321928,304.314296,-300.992368,278.802158,2.323351,8392.781239,0.583333,7,0.018519,2,0.981481,106,0.416667,5,0.777778,0.583333,0.666667,0.643318,0.772762,0.472222,0.716667,0.031481,0.968519,0.283333,0.739452,0.716667,0.719538,0.693305,0.835841,0.553752,0.719538,0.716667,1.488,0.001,1.453125,0,1453.125,0,135913,6854107,797467,71.666667,10.166667,'Number of leaves: 138\nSize of the tree: 275\n',275,138,138
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,87,33,0,72.5,27.5,0,0.694444,0.055733,0.234025,30.962911,78.00844,398.631371,31170.650265,-30772.018893,3.321928,259.755419,-256.433491,283.349477,2.361246,8529.669189,0.666667,8,0.009259,1,0.990741,107,0.333333,4,0.888889,0.666667,0.761905,0.74878,0.828704,0.625926,0.725,0.030556,0.969444,0.275,0.743492,0.725,0.728553,0.701522,0.85814,0.589787,0.728553,0.725,1.539,0.001,1.515625,0,1515.625,0,137281,6854107,797467,72.5,10,'Number of leaves: 140\nSize of the tree: 279\n',279,140,140
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.059173,0.240013,32.873846,80.004177,398.631371,29045.784342,-28647.15297,3.321928,242.048203,-238.726275,276.305202,2.302543,8317.61538,0.583333,7,0.037037,4,0.962963,104,0.416667,5,0.636364,0.583333,0.608696,0.567964,0.767747,0.412879,0.708333,0.032407,0.967593,0.291667,0.714414,0.708333,0.704983,0.676622,0.85841,0.558096,0.704983,0.708333,1.594,0.001,1.453125,0,1453.125,0,131125,6854107,797467,70.833333,10,'Number of leaves: 131\nSize of the tree: 261\n',261,131,131
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,90,30,0,75,25,0,0.722222,0.051308,0.222885,28.504343,74.29493,398.631371,30086.429621,-29687.798249,3.321928,250.720247,-247.398319,292.999761,2.441665,8820.17167,0.666667,8,0.037037,4,0.962963,104,0.333333,4,0.666667,0.666667,0.666667,0.62963,0.799383,0.477778,0.75,0.027778,0.972222,0.25,0.748125,0.75,0.74159,0.718658,0.861574,0.611278,0.74159,0.75,1.396,0,1.375,0,1375,0,137281,6854107,797467,75,10.333333,'Number of leaves: 140\nSize of the tree: 279\n',279,140,140
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.0598,0.241536,33.222277,80.511836,398.631371,35455.347544,-35056.716173,3.321928,295.46123,-292.139301,275.662556,2.297188,8298.269794,0.916667,11,0.027778,3,0.972222,105,0.083333,1,0.785714,0.916667,0.846154,0.830679,0.934414,0.690873,0.708333,0.032407,0.967593,0.291667,0.704856,0.708333,0.702984,0.672952,0.837384,0.541532,0.702984,0.708333,1.527,0,1.390625,0,1390.625,0,134545,6854107,797467,70.833333,10.083333,'Number of leaves: 136\nSize of the tree: 271\n',271,136,136
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,77,43,0,64.166667,35.833333,0,0.601852,0.071852,0.267495,39.917899,89.165146,398.631371,42979.490935,-42580.859564,3.321928,358.162424,-354.840496,249.090811,2.075757,7498.380575,0.666667,8,0.064815,7,0.935185,101,0.333333,4,0.533333,0.666667,0.592593,0.545949,0.78858,0.388889,0.641667,0.039815,0.960185,0.358333,0.672201,0.641667,0.645261,0.61236,0.807523,0.507956,0.645261,0.641667,1.487,0.001,1.3125,0,1312.5,0,133177,6854107,797467,64.166667,10,'Number of leaves: 134\nSize of the tree: 267\n',267,134,134
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,91,29,0,75.833333,24.166667,0,0.731481,0.049221,0.218514,27.345221,72.838,398.631371,26874.512928,-26475.881557,3.321928,223.954274,-220.632346,297.087766,2.475731,8943.232891,0.75,9,0.018519,2,0.981481,106,0.25,3,0.818182,0.75,0.782609,0.760495,0.865741,0.638636,0.758333,0.026852,0.973148,0.241667,0.767733,0.758333,0.756483,0.733721,0.876505,0.629572,0.756483,0.758333,1.511,0.001,1.46875,0,1468.75,0,135913,6854107,797467,76.666667,10.916667,'Number of leaves: 138\nSize of the tree: 275\n',275,138,138
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065818,0.252831,36.565788,84.277159,398.631371,34412.221516,-34013.590145,3.321928,286.768513,-283.446585,262.43097,2.186925,7899.959391,0.5,6,0.027778,3,0.972222,105,0.5,6,0.666667,0.5,0.571429,0.537856,0.736883,0.404167,0.675,0.036111,0.963889,0.325,0.672454,0.675,0.666992,0.635206,0.835725,0.51047,0.666992,0.675,1.514,0,1.4375,0,1437.5,0,131125,6854107,797467,67.5,10.166667,'Number of leaves: 131\nSize of the tree: 261\n',261,131,131
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,82,38,0,68.333333,31.666667,0,0.648148,0.06369,0.251232,35.383534,83.744066,398.631371,37608.456579,-37209.825208,3.321928,313.403805,-310.081877,266.31082,2.219257,8016.754514,0.75,9,0.074074,8,0.925926,100,0.25,3,0.529412,0.75,0.62069,0.581512,0.847222,0.413358,0.683333,0.035185,0.964815,0.316667,0.703075,0.683333,0.680964,0.653377,0.828511,0.520305,0.680964,0.683333,1.707,0,1.609375,0,1609.375,0,139333,6854107,797467,68.333333,10,'Number of leaves: 143\nSize of the tree: 285\n',285,143,143
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0408,1080,120,83,37,0,69.166667,30.833333,0,0.657407,0.062559,0.24738,34.754742,82.459834,398.631371,37602.256311,-37203.624939,3.321928,313.352136,-310.030208,269.278449,2.243987,8106.089035,0.916667,11,0.046296,5,0.953704,103,0.083333,1,0.6875,0.916667,0.785714,0.768122,0.930941,0.638542,0.691667,0.034259,0.965741,0.308333,0.699572,0.691667,0.690668,0.659587,0.832369,0.530635,0.690668,0.691667,1.606,0.001,1.59375,0,1593.75,0,135913,6854107,797467,69.166667,10.333333,'Number of leaves: 138\nSize of the tree: 275\n',275,138,138
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.018519,2,0.981481,106,0.416667,5,0.777778,0.583333,0.666667,0.643318,0.782407,0.49537,0.708333,0.032407,0.967593,0.291667,0.732879,0.708333,0.711609,0.684746,0.837963,0.562728,0.711609,0.708333,1.586,0.001,1.578125,0,1578.125,0,146173,6854107,797467,70.833333,10,'Number of leaves: 153\nSize of the tree: 305\n',305,153,153
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,88,32,0,73.333333,26.666667,0,0.703704,0.053333,0.23094,29.62963,76.980036,398.631371,34368,-33969.368629,3.321928,286.4,-283.078072,287.465573,2.395546,8653.57603,0.583333,7,0,0,1,108,0.416667,5,1,0.583333,0.736842,0.746674,0.791667,0.625,0.733333,0.02963,0.97037,0.266667,0.764318,0.733333,0.739331,0.715468,0.851852,0.596919,0.739331,0.733333,1.512,0,1.421875,0,1421.875,0,148909,6854107,797467,73.333333,10,'Number of leaves: 157\nSize of the tree: 313\n',313,157,157
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,3,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.583333,7,0.037037,4,0.962963,104,0.416667,5,0.636364,0.583333,0.608696,0.567964,0.773148,0.412879,0.708333,0.032407,0.967593,0.291667,0.714376,0.708333,0.705553,0.676789,0.837963,0.549746,0.705553,0.708333,1.381,0,1.359375,0,1359.375,0,144121,6854107,797467,70.833333,10,'Number of leaves: 150\nSize of the tree: 299\n',299,150,150
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,4,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,90,30,0,75,25,0,0.722222,0.05,0.223607,27.777778,74.535599,398.631371,32220,-31821.368629,3.321928,268.5,-265.178072,294.413436,2.453445,8862.727528,0.666667,8,0.037037,4,0.962963,104,0.333333,4,0.666667,0.666667,0.666667,0.62963,0.814815,0.477778,0.75,0.027778,0.972222,0.25,0.748125,0.75,0.74159,0.718658,0.861111,0.604631,0.74159,0.75,1.389,0,1.296875,0,1296.875,0,145489,6854107,797467,75,10,'Number of leaves: 152\nSize of the tree: 303\n',303,152,152
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,5,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,85,35,0,70.833333,29.166667,0,0.675926,0.058333,0.241523,32.407407,80.507649,398.631371,37590,-37191.368629,3.321928,313.25,-309.928072,277.04378,2.308698,8339.848783,0.916667,11,0.037037,4,0.962963,104,0.083333,1,0.733333,0.916667,0.814815,0.797925,0.939815,0.680556,0.708333,0.032407,0.967593,0.291667,0.707294,0.708333,0.703915,0.674054,0.837963,0.550658,0.703915,0.708333,1.568,0.001,1.484375,0,1484.375,0,144805,6854107,797467,70.833333,10,'Number of leaves: 151\nSize of the tree: 301\n',301,151,151
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,6,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,77,43,0,64.166667,35.833333,0,0.601852,0.071667,0.267706,39.814815,89.235436,398.631371,46182,-45783.368629,3.321928,384.85,-381.528072,249.25233,2.077103,7503.242791,0.666667,8,0.064815,7,0.935185,101,0.333333,4,0.533333,0.666667,0.592593,0.545949,0.800926,0.388889,0.641667,0.039815,0.960185,0.358333,0.672201,0.641667,0.645261,0.61236,0.800926,0.505456,0.645261,0.641667,1.333,0,1.28125,0,1281.25,0,136597,6854107,797467,64.166667,10,'Number of leaves: 139\nSize of the tree: 277\n',277,139,139
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,7,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,91,29,0,75.833333,24.166667,0,0.731481,0.048333,0.219848,26.851852,73.282811,398.631371,31146,-30747.368629,3.321928,259.55,-256.228072,297.887367,2.482395,8967.303277,0.75,9,0.018519,2,0.981481,106,0.25,3,0.818182,0.75,0.782609,0.760495,0.865741,0.638636,0.758333,0.026852,0.973148,0.241667,0.7687,0.758333,0.756521,0.734042,0.865741,0.619675,0.756521,0.758333,1.611,0.001,1.5625,0,1562.5,0,147541,6854107,797467,75.833333,10,'Number of leaves: 155\nSize of the tree: 309\n',309,155,155
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,8,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.5,6,0.018519,2,0.981481,106,0.5,6,0.75,0.5,0.6,0.579066,0.740741,0.425,0.675,0.036111,0.963889,0.325,0.676376,0.675,0.666894,0.636392,0.819444,0.496672,0.666894,0.675,1.555,0.001,1.5,0,1500,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,9,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,81,39,0,67.5,32.5,0,0.638889,0.065,0.254951,36.111111,84.983659,398.631371,41886,-41487.368629,3.321928,349.05,-345.728072,263.148055,2.1929,7921.545787,0.75,9,0.083333,9,0.916667,99,0.25,3,0.5,0.75,0.6,0.560112,0.833333,0.4,0.675,0.036111,0.963889,0.325,0.697104,0.675,0.673098,0.645071,0.819444,0.511655,0.673098,0.675,1.44,0.001,1.421875,0,1421.875,0,148225,6854107,797467,67.5,10,'Number of leaves: 156\nSize of the tree: 311\n',311,156,156
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,10,weka.classifiers.trees.J48,'-U -M 1',-217733168393644444,20180206.0408,1080,120,82,38,0,68.333333,31.666667,0,0.648148,0.063333,0.251661,35.185185,83.887049,398.631371,40812,-40413.368629,3.321928,340.1,-336.778072,266.621986,2.22185,8026.121536,0.916667,11,0.046296,5,0.953704,103,0.083333,1,0.6875,0.916667,0.785714,0.768122,0.935185,0.638542,0.683333,0.035185,0.964815,0.316667,0.693435,0.683333,0.682757,0.651201,0.824074,0.519382,0.682757,0.683333,1.675,0.001,1.609375,0,1609.375,0,146173,6854107,797467,68.333333,10,'Number of leaves: 153\nSize of the tree: 305\n',305,153,153
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0409,1080,120,86,34,0,71.666667,28.333333,0,0.685185,0.058297,0.238883,32.387244,79.62777,398.631371,36517.715553,-36119.084182,3.321928,304.314296,-300.992368,278.802158,2.323351,8392.781239,0.583333,7,0.018519,2,0.981481,106,0.416667,5,0.777778,0.583333,0.666667,0.643318,0.772762,0.472222,0.716667,0.031481,0.968519,0.283333,0.739452,0.716667,0.719538,0.693305,0.835841,0.553752,0.719538,0.716667,1.739,0,1.65625,0,1656.25,0,135913,6854107,797467,71.666667,10.166667,'Number of leaves: 138\nSize of the tree: 275\n',275,138,138
fashion_mnist_train-weka.filters.supervised.instance.Resample-B0.0-S1567573-Z2.0-no-replacement,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 1',-217733168393644444,20180206.0409,1080,120,87,33,0,72.5,27.5,0,0.694444,0.055733,0.234025,30.962911,78.00844,398.631371,31170.650265,-30772.018893,3.321928,259.755419,-256.433491,283.349477,2.361246,8529.669189,0.666667,8,0.009259,1,0.990741,107,0.333333,4,0.888889,0.666667,0.761905,0.74878,0.828704,0.625926,0.725,0.030556,0.969444,0.275,0.743492,0.725,0.728553,0.701522,0.85814,0.589787,0.728553,0.725,1.602,0.002,1.578125,0,1578.125,0,137281,6854107,797467,72.5,10,'Number of leaves: 140\nSize of the tree: 279\n',279,140,140
